[1772590235] [apply_action] freq=501 Hz, last_dt=1994 us
[1772590236] [apply_action] freq=500 Hz, last_dt=1996 us
[1772590237] [apply_action] freq=501 Hz, last_dt=1975 us
[1772590238] [apply_action] freq=500 Hz, last_dt=2020 us
[1772590239] [apply_action] freq=501 Hz, last_dt=2023 us
[1772590240] [apply_action] freq=500 Hz, last_dt=2030 us
[1772590241] [apply_action] freq=501 Hz, last_dt=2025 us
[1772590242] [apply_action] freq=501 Hz, last_dt=1990 us
[1772590243] [apply_action] freq=501 Hz, last_dt=1999 us
[1772590244] [apply_action] freq=500 Hz, last_dt=1996 us
[1772590245] [apply_action] freq=500 Hz, last_dt=1988 us
[1772590246] [apply_action] freq=501 Hz, last_dt=2043 us
[1772590247] [apply_action] freq=501 Hz, last_dt=2006 us
[1772590248] [apply_action] freq=500 Hz, last_dt=1984 us
[1772590249] [apply_action] freq=501 Hz, last_dt=2021 us
[1772590250] [apply_action] freq=501 Hz, last_dt=2005 us
[1772590251] [apply_action] freq=501 Hz, last_dt=1986 us
[1772590252] [apply_action] freq=500 Hz, last_dt=1998 us
[1772590253] [apply_action] freq=501 Hz, last_dt=1976 us
[1772590254] [apply_action] freq=500 Hz, last_dt=2036 us
[1772590255] [apply_action] freq=501 Hz, last_dt=2014 us
[1772590256] [apply_action] freq=500 Hz, last_dt=2005 us
[1772590257] [apply_action] freq=500 Hz, last_dt=2067 us
[1772590258] [apply_action] freq=501 Hz, last_dt=1911 us
[1772590259] [apply_action] freq=500 Hz, last_dt=1949 us
[1772590260] [apply_action] freq=500 Hz, last_dt=1951 us
[1772590261] [apply_action] freq=501 Hz, last_dt=1999 us
[1772590262] [apply_action] freq=500 Hz, last_dt=2036 us
[1772590263] [apply_action] freq=501 Hz, last_dt=2019 us
[1772590264] [apply_action] freq=501 Hz, last_dt=2013 us
[1772590265] [apply_action] freq=500 Hz, last_dt=2025 us
[1772590266] [apply_action] freq=501 Hz, last_dt=1998 us
[1772590267] [apply_action] freq=500 Hz, last_dt=1984 us
[1772590268] [apply_action] freq=500 Hz, last_dt=2039 us
[1772590269] [apply_action] freq=501 Hz, last_dt=2029 us
[1772590270] [apply_action] freq=501 Hz, last_dt=1964 us
[1772590271] [apply_action] freq=500 Hz, last_dt=1992 us
[1772590272] [apply_action] freq=500 Hz, last_dt=2008 us
[1772590273] [apply_action] freq=501 Hz, last_dt=2020 us
[1772590274] [apply_action] freq=501 Hz, last_dt=2029 us
[1772590275] [apply_action] freq=501 Hz, last_dt=2045 us
[1772590276] [apply_action] freq=500 Hz, last_dt=2040 us
[1772590277] [apply_action] freq=500 Hz, last_dt=2051 us
[1772590278] [apply_action] freq=501 Hz, last_dt=1996 us
[1772590279] [apply_action] freq=501 Hz, last_dt=2015 us
